"stepic_id","score"
"736914","0"
"294949136","0"
"294952173","0"
"86591241","2"
"84445173","2"
"30278040","2"
"47291653","0"
"46269694","2"
"35246","0"
"79188298","2"
"58130418","0"
"58656720","2"
"102561017","0"
"36017133","2"
"41646241","2"
"101094357","2"
"39740268","2"
"21213973","1"
"32836484","2"
"235379460","2"
"53314263","0"
"199023149","2"
"94546323","2"
"121729278","2"
"61573","2"
"21225629","2"
"46953847","2"
"78231130","2"
"96953202","2"
"97680924","2"
"44601976","0"
"302192054","0"
"105785021","1"
"52739340","2"
"105344057","2"
"237009684","1"
"57443035","0"
"53423623","2"
"60413821","2"
"82206308","2"
"46315368","2"
"125109","0"
"36996730","0"
"40901072","1"
"2316407","2"
"151356425","2"
"46268432","2"
"50985379","0"
"300545611","2"
"41830670","2"
"34708600","2"
"187440612","0"
"763711","0"
"303219905","0"
"2639523","2"
"35842","0"
"59591586","0"
"212918696","0"
"107268410","0"
